orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Szlovákia,2012,72.40,61.50,93.50,1.60,255.40,1225.90,29042.82,26425.60,90.00,99.20,13.20
Szlovákia,2013,71.80,62.00,93.60,1.60,258.10,1293.10,29973.70,27055.10,90.10,99.30,12.80
Szlovákia,2014,72.70,62.90,92.30,1.70,256.20,1316.20,30870.02,28659.20,89.60,101.50,12.60
Szlovákia,2015,74.50,64.60,92.80,1.70,251.00,1142.90,31628.25,29974.30,90.00,106.40,12.30
Szlovákia,2016,76.40,67.20,93.10,1.60,260.70,1172.90,33936.04,31383.20,90.60,114.70,12.70
Szlovákia,2017,77.00,69.40,92.70,1.70,259.10,1246.90,36507.55,35753.40,90.20,115.60,12.40
Szlovákia,2018,78.80,70.30,92.60,1.70,260.30,1374.40,38961.54,38899.90,90.70,108.70,12.20
Szlovákia,2019,79.40,71.70,92.10,1.70,265.70,1383.00,40670.88,40635.60,90.60,111.00,11.90
Szlovákia,2020,78.20,70.90,93.30,1.60,260.20,1450.60,39768.63,36541.20,92.00,106.10,11.40
Szlovénia,2012,71.10,64.20,86.20,1.60,74.60,2306.90,29042.82,26425.60,83.70,30.30,13.50
Szlovénia,2013,70.60,62.60,86.20,1.60,73.90,2398.30,29973.70,27055.10,84.70,28.90,14.50
Szlovénia,2014,71.00,63.20,87.10,1.60,77.00,2432.80,30870.02,28659.20,84.20,31.20,14.50
Szlovénia,2015,72.70,64.20,88.00,1.60,77.40,2064.00,31628.25,29974.30,85.50,32.10,14.30
Szlovénia,2016,72.70,66.20,88.60,1.70,72.90,2130.20,33936.04,31383.20,86.00,31.10,13.90
Szlovénia,2017,76.20,69.30,88.90,1.60,72.20,2243.50,36507.55,35753.40,86.90,35.30,13.30
